			
1	Ace of Wands	Ace of Wands: Inspiration, power, creation, beginnings, potential	rwacewands.jpg
2	Two of Wands	2 of Wands: Future planning, progress, decisions, discovery	rw02wands.jpg
3	Three of Wands	3 of Wands: Preparation, foresight, enterprise, expansion	rw03wands.jpg
4	Four of Wands	4 of Wands: Celebration, harmony, marriage, home, community	rw04wands.jpg
5	Five of Wands	5 of Wands: Disagreement, competition, strife, tension, conflict	rw05wands.jpg
6	Six of Wands	6 of Wands: Public recognition, victory, progress, self-confidence	rw06wands.jpg
7	Seven of Wands	7 of Wands: Challenge, competition, perseverance	rw07wands.jpg
8	Eight of Wands	8 of Wands: Speed, action, air travel, movement, swift change	rw08wands.jpg
9	Nine of Wands	9 of Wands: Courage, persistence, test of faith, resilience	rw09wands.jpg
10	Ten of Wands	10 of Wands: Burden, responsibility, hard work, stress, achievement	rw10wands.jpg
11	Page of Wands	Daughter of Wands: Enthusiasm, exploration, discovery, free spirit	
12	Knight of Wands	Son of Wands: Energy, passion, lust, action, adventure, impulsiveness	
13	Queen of Wands	Queen of Wands: Exuberance, warmth, vibrancy, determination	
14	King of Wands	King of Wands: Natural-born leader, vision, entrepreneur, honour	
15	Ace of Swords	Ace of Swords: Raw power, victory, break-throughs, mental clarity	rwaceswords.jpg
16	Two of Swords	2 of Swords: Indecision, choices, truce, stalemate, blocked emotions	rw02swords.jpg
17	Three of Swords	3 of Swords: Painful separation, sorrow heartbreak, grief, rejection	rw03swords.jpg
18	Four of Swords	4 of Swords: Contemplation, recuperation, passivity, relaxation, rest	rw04swords.jpg
19	Five of Swords	5 of Swords: Conflict, tension, loss, defeat, win at all costs, betrayal	rw05swords.jpg
20	Six of Swords	6 of Swords: Regretful but necessary transition, rite of passage	rw06swords.jpg
21	Seven of Swords	7 of Swords: Betrayal, deception, getting away with something, stealth	rw07swords.jpg
22	Eight of Swords	8 of Swords: Isolation, self-imposed restriction, imprisonment	rw08swords.jpg
23	Nine of Swords	9 of Swords: Depression, nightmares, intense anxiety, despair	rw09swords.jpg
24	Ten of Swords	10 of Swords: Back-stabbed, defeat, crisis, betrayal, endings, loss	rw10swords.jpg
25	Page of Swords	Daughter of Swords: Talkative, curious, mentally restless, energetic	
26	Knight of Swords	Son of Swords: Opinionated, hasty, action-oriented, communicative	
27	Queen of Swords	Queen of Swords: Quick thinker, organised, perceptive, independent	
28	King of Swords	King of Swords: Clear thinking, intellectual power, authority, truth	
29	Ace of Cups	Ace of Cups: Love, compassion, creativity, overwhelming emotion	rwacecups.jpg
30	Two of Cups	2 of Cups: Unified love, partnership, attraction, relationships	rw02cups.jpg
31	Three of Cups	3 of Cups: Celebration, friendship, creativity, community	rw03cups.jpg
32	Four of Cups	4 of Cups: Meditation, contemplation, apathy, re-evaluation	rw04cups.jpg
33	Five of Cups	5 of Cups: Loss, regret, disappointment, despair, bereavement	rw05cups.jpg
34	Six of Cups	6 of Cups: Reunion, nostalgia, childhood memories, innocence	rw06cups.jpg
35	Seven of Cups	7 of Cups: Fantasy, illusion, wishful thinking, choices, imagination	rw07cups.jpg
36	Eight of Cups	8 of Cups: Escapism, disappointment, abandonment, withdrawal	rw08cups.jpg
37	Nine of Cups	9 of Cups: Wishes fulfilled, comfort, happiness, satisfaction	rw09cups.jpg
38	Ten of Cups	10 of Cups: Harmony, marriage, happiness, alignment	rw10cups.jpg
39	Page of Cups	Daugher of Cups: A messenger, creative beginnings, synchronicity	
40	Knight of Cups	Son of Cups: Romance, charm, ‘Knight in shining armour’, imagination	
41	Queen of Cups	Queen of Cups: Emotional security, calm, intuitive, compassionate	
42	King of Cups	King of Cups: Emotional balance and control, generosity	
43	Ace of Pentacles	Ace of Pentacles: Manifestation, new financial opportunity, prosperity	rwacepentacles.jpg
44	Two of Pentacles	2 of Pentacles: Balance, adaptability, time management, prioritisation	rw02pentacles.jpg
45	Three of Pentacles	3 of Pentacles:  Teamwork, initial fulfilment, collaboration, learning	rw03pentacles.jpg
46	Four of Pentacles	4 of Pentacles: Control, stability, security, possession, conservatism	rw04pentacles.jpg
47	Five of Pentacles	5 of Pentacles: Isolation, insecurity, worry, financial loss, poverty	rw05pentacles.jpg
48	Six of Pentacles	6 of Pentacles: Generosity, charity, giving, prosperity, sharing wealth	rw06pentacles.jpg
49	Seven of Pentacles	7 of Pentacles: Vision, perseverance, profit, reward, investment	rw07pentacles.jpg
50	Eight of Pentacles	8 of Pentacles: Apprenticeship, education, quality, engagement	rw08pentacles.jpg
51	Nine of Pentacles	9 of Pentacles: Gratitude, luxury, self-sufficiency, culmination	rw09pentacles.jpg
52	Ten of Pentacles	10 of Pentacles: Wealth, inheritance, family, establishment, retirement	rw10pentacles.jpg
53	Page of Pentacles	Daughter of Pentacles: Manifestation, financial opportunity, new job	
54	Knight of Pentacles	Son of Pentacles: Efficiency, routine, conservatism, methodical	
55	Queen of Pentacles	Queen of Pentacles: Practical, homely, motherly, down-to-earth, security	
56	King of Pentacles	King of Pentacles: Security, control, power, discipline, abundance	
57	Fool	Fool  Beginnings, innocence, spontaneity, a free spirit	
58	Magician	Magician: Power, skill, concentration, action, resourcefulness	
59	High Priestess	High Priestess: Intuition, Higher powers, mystery, subconscious mind	
60	Empress	Empress: Fertility, femininity, beauty, nature, abundance	
61	Emperor	Emperor: Authority, father-figure, structure, solid foundation	
62	Hierophant	Hierophant: Religion, group identification, conformity, tradition, beliefs	
63	Lovers	Lovers: Love, union, relationships, values alignment, choices	
64	Chariot	Chariot: Control, will power, victory, assertion, determination	
65	Strength	Strength: Strength, courage, patience, control, compassion	
66	Hermit	Hermit: Soul-searching, introspection, being alone, inner guidance	
67	Wheel of Fortune	Wheel of Fortune: Good luck, karma, life cycles, destiny, a turning point	
68	Justice	Justice: Justice, fairness, truth, cause and effect, law	
69	Hanged Man	Hanged Man: Suspension, restriction, letting go, sacrifice	
70	Death	Death: Endings, beginnings, change, transformation, transition	
71	Temperance	Temperance: Balance, moderation, patience, purpose, meaning	
72	Devil	Devil: Bondage, addiction, sexuality, materialism	
73	Tower	Tower: Disaster, upheaval, sudden change, revelation	
74	Star	Star: Hope, spirituality, renewal, inspiration, serenity	
75	Moon	Moon: Illusion, fear, anxiety, insecurity, subconscious	
76	Sun	Sun: Fun, warmth, success, positivity, vitality	
77	Judgement	Judgement: Judgement, rebirth, inner calling, absolution	
78	World	World: Completion, integration, accomplishment, travel	